keyword,avg_monthly,competition,competition_index,top_bid_low,top_bid_high,source_group,mapped_page,intent,priority,occurrences,source_files
tiles price chennai,500,High,85,1.27,16.52,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
kajaria tiles showroom chennai,500,Low,21,3.15,15.95,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
ao smith geyser,500,High,95,0.48,15.16,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-8.csv
anuj tiles porur,500,Low,8,6.04,14.76,core,Tiles (L1),Commercial,Medium,2,seo/keyword-research/first-pass-core/set-1.csv | seo/keyword-research/first-pass-core/set-3.csv
top 10 tiles showroom in chennai,500,Low,21,5.69,13.29,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
sunhearrt ceramik chennai,500,Low,7,8.44,12.58,core,Unmapped - review,Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
kajaria eternity egmore,500,Low,8,3.28,8.8,core,Unmapped - review,Commercial,Low,1,seo/keyword-research/first-pass-core/set-1.csv
kajaria showroom chennai,500,Low,21,3.11,8.15,core,Unmapped - review,Commercial,Low,1,seo/keyword-research/first-pass-core/set-1.csv
vishnu tiles keelkattalai,500,Low,16,0.72,7.69,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
ceramics chennai,500,Low,7,0.0,0.0,core,Unmapped - review,Commercial,Low,1,seo/keyword-research/first-pass-core/set-1.csv
cool roof tiles chennai,500,Low,23,0.0,0.0,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
kag tiles showroom vanagaram,500,Low,16,0.0,0.0,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
kajaria experience centre chennai,500,Low,24,0.0,0.0,core,Unmapped - review,Commercial,Low,1,seo/keyword-research/first-pass-core/set-3.csv
lakshmi ceramics vanagaram,500,Low,7,0.0,0.0,core,Unmapped - review,Commercial,Low,2,seo/keyword-research/first-pass-core/set-1.csv | seo/keyword-research/first-pass-core/set-3.csv
racold chennai,50,Medium,43,16.7,95.49,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-7.csv
cera dealers in chennai,50,Medium,40,38.15,93.58,core,Unmapped - review,Commercial,Medium,1,seo/keyword-research/first-pass-core/set-4.csv
racold water heater service centre in chennai,50,Medium,57,36.11,91.98,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-7.csv
ao smith water heater repair near me,50,High,89,71.98,91.71,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-8.csv
racold water heater service chennai,50,High,70,29.85,91.71,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-7.csv
racold service center chennai,50,Medium,41,36.4,91.33,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-7.csv
racold service chennai,50,High,71,36.39,90.25,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-7.csv
racold water heater service center chennai,50,High,69,33.66,87.13,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-7.csv
racold water heater service center in chennai,50,High,69,33.66,87.13,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-7.csv
roof cooling tiles price in chennai,50,High,92,28.63,59.24,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
ao smith z9,50,High,70,1.23,48.91,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-8.csv
designer wash basin chennai,50,High,100,9.1,47.07,core,Wash Basins (L2),Informational,Medium,1,seo/keyword-research/first-pass-core/set-6.csv
bathroom fittings showroom in chennai,50,High,82,11.13,42.23,core,Bathroom Fittings / Fixtures (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-7.csv
ao smith ro water purifier,50,High,94,0.44,41.99,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-8.csv
ro water purifier ao smith,50,High,94,0.44,41.99,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-8.csv
johnson tiles dealers in chennai,50,Medium,56,4.79,41.63,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
cool roof tiles price in chennai,50,High,91,10.87,38.4,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
johnson tiles nungambakkam,50,Low,16,1.86,37.05,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
johnson tiles chennai,50,Low,27,3.47,36.4,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
kajaria dealers in chennai,50,Low,25,2.87,36.29,core,Unmapped - review,Commercial,Low,1,seo/keyword-research/first-pass-core/set-1.csv
kajaria tile dealers in chennai,50,Low,25,2.87,36.29,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
grohe showroom in chennai,50,Low,23,16.68,35.02,brands,Brand Keywords (to map by product relevance),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-1.csv
wall cladding tiles in chennai,50,High,73,5.91,34.26,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
2x2 vitrified tiles price in chennai,50,Low,19,1.27,34.09,core,Tiles (L1),Commercial,Medium,2,seo/keyword-research/first-pass-core/set-1.csv | seo/keyword-research/first-pass-core/set-2.csv
racold water heater chennai,50,High,81,3.02,34.07,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-7.csv
parryware dealers chennai,50,Low,23,4.33,32.98,core,Unmapped - review,Commercial,Low,1,seo/keyword-research/first-pass-core/set-4.csv
hindware showroom chennai,50,Low,22,6.14,32.51,brands,Brand Keywords (to map by product relevance),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-3.csv
parryware dealers in chennai parrys,50,Medium,57,2.15,31.98,core,Unmapped - review,Commercial,Low,1,seo/keyword-research/first-pass-core/set-4.csv
ro smith water purifier,50,High,100,0.55,31.87,brands,Unmapped - review,Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
smith ro water purifier,50,High,100,0.55,31.87,brands,Unmapped - review,Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
western closet price in chennai,50,High,79,0.48,31.64,core,Unmapped - review,Commercial,Low,1,seo/keyword-research/first-pass-core/set-5.csv
best bathroom fittings in chennai,50,High,94,9.12,31.36,core,Bathroom Fittings / Fixtures (L1),Informational,Medium,1,seo/keyword-research/first-pass-core/set-7.csv
designer tiles chennai,50,High,88,7.3,30.26,core,Tiles (L1),Informational,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
tiles wholesale in chennai,50,Medium,46,4.59,29.26,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
ao smith water heater installation,50,Low,17,14.27,28.19,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-8.csv
tiles low price in chennai,50,High,85,8.09,27.89,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
hindware dealer in chennai,50,Low,24,5.36,27.82,brands,Brand Keywords (to map by product relevance),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-3.csv
hindware dealers in chennai,50,Low,24,5.36,27.82,core,Brand Keywords (to map by product relevance),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-4.csv
kitchen tiles chennai,50,High,78,6.62,26.05,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
parryware wholesale dealers in chennai,50,Low,25,3.51,25.87,core,Unmapped - review,Commercial,Low,1,seo/keyword-research/first-pass-core/set-4.csv
ao smith water purifier z9,50,High,100,0.53,25.72,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith z9 water purifier,50,High,100,0.53,25.72,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-8.csv
wash basin chennai,50,High,97,2.32,25.48,core,Wash Basins (L2),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-6.csv
smith purifier,50,High,100,0.83,25.3,brands,Unmapped - review,Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
smith water purifier,50,High,100,0.83,25.3,brands,Unmapped - review,Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
sanitaryware chennai,50,Medium,59,8.53,24.98,core,Sanitaryware (L1),Commercial,Medium,2,seo/keyword-research/first-pass-core/set-4.csv | seo/keyword-research/first-pass-core/set-7.csv
ao smith ro,50,High,99,0.7,24.87,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
low price tiles in chennai,50,High,69,6.66,24.8,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
somany ceramics chennai,50,Low,23,3.99,24.73,core,Unmapped - review,Commercial,Low,2,seo/keyword-research/first-pass-core/set-1.csv | seo/keyword-research/first-pass-core/set-3.csv
somany ceramics ltd chennai,50,Low,23,3.99,24.73,core,Unmapped - review,Commercial,Low,1,seo/keyword-research/first-pass-core/set-3.csv
somany tiles in chennai,50,Low,23,3.99,24.73,core,Tiles (L1),Commercial,Medium,2,seo/keyword-research/first-pass-core/set-1.csv | seo/keyword-research/first-pass-core/set-3.csv
tiles online shopping chennai,50,High,91,7.51,24.52,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
bathtub chennai,50,High,100,6.9,23.78,core,Bath & Wellness (L2),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-9.csv
wholesale tiles shop in chennai,50,Medium,40,6.97,23.61,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
hindware chennai,50,Medium,38,6.52,23.27,brands,Brand Keywords (to map by product relevance),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-3.csv
ao smith water purifier p4,50,High,100,0.51,22.99,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith water purifier under sink,50,High,99,1.43,22.99,brands,Sinks (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
jaquar bathroom fittings chennai,50,Medium,66,1.47,22.51,core,Bathroom Fittings / Fixtures (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-7.csv
rooms with bathtub in chennai,50,High,100,5.49,22.29,core,Bath & Wellness (L2),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-9.csv
ao smith under sink water purifier,50,High,90,0.91,22.28,brands,Sinks (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
a0 smith water purifier,50,High,93,2.03,22.1,brands,Unmapped - review,Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p6,50,High,91,0.55,21.53,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ceramic tiles chennai,50,Low,29,7.51,21.44,core,Tiles (L1),Commercial,Medium,2,seo/keyword-research/first-pass-core/set-1.csv | seo/keyword-research/first-pass-core/set-3.csv
best tile brands in chennai,50,Low,33,8.08,21.1,core,Tiles (L1),Informational,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
jaquar sanitary showroom in chennai,50,Low,30,3.99,20.72,core,Unmapped - review,Commercial,Low,1,seo/keyword-research/first-pass-core/set-4.csv
kajaria tiles wholesale dealers in chennai,50,Medium,39,6.23,20.69,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
ao smith water purifier with hot water,50,High,100,2.07,20.64,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
vox ceiling chennai,50,Medium,45,2.73,20.35,core,Unmapped - review,Commercial,Low,1,seo/keyword-research/first-pass-core/set-1.csv
ao smith water purifier p5,50,High,96,0.6,19.79,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
oyo rooms with bathtub in chennai,50,Medium,42,3.54,19.39,core,Bath & Wellness (L2),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-9.csv
ao smith 6 litre water heater price,50,High,100,0.35,19.27,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
best tiles in chennai,50,Medium,56,7.36,18.66,core,Tiles (L1),Informational,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
wash basin price in chennai,50,High,85,0.48,18.3,core,Wash Basins (L2),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-6.csv
a ao smith water heater,50,High,96,0.53,18.1,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith finesse 10 litre geyser,50,High,100,0.67,17.99,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 25 ltr,50,High,100,1.02,17.71,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
racold water heater dealers in chennai,50,Medium,35,2.07,17.51,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-7.csv
moroccan tiles in chennai,50,High,70,7.0,17.44,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
sanitary ware showroom in parrys chennai,50,Medium,42,1.88,17.38,core,Unmapped - review,Commercial,Low,1,seo/keyword-research/first-pass-core/set-4.csv
largest tile showroom in chennai,50,Medium,49,6.4,17.14,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
ao smith sds green,50,High,88,0.81,16.86,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
os smith water heater,50,High,100,0.51,16.55,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
smith heater water,50,High,100,0.51,16.55,brands,Unmapped - review,Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
smith water geyser,50,High,100,0.51,16.55,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
smith water heater,50,High,100,0.51,16.55,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
cheap tiles in chennai,50,Medium,62,7.59,16.36,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
johnson tiles price in chennai,50,High,74,3.47,16.31,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
tiles online chennai,50,Medium,52,4.9,16.27,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
smith water heater price,50,High,100,0.41,16.14,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
big tiles showroom in chennai,50,Medium,38,6.78,16.11,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
finesse ao smith,50,High,100,0.86,16.01,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
bathtub rooms in chennai,50,High,86,1.25,15.97,core,Bath & Wellness (L2),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-9.csv
ao smith 15 litre geyser price,50,High,100,0.43,15.26,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith 25 litre geyser,50,High,100,0.88,15.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith 25l geyser,50,High,100,0.88,15.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
jaguar fittings showroom chennai,50,Medium,45,2.45,14.96,core,Unmapped - review,Commercial,Low,1,seo/keyword-research/first-pass-core/set-7.csv
tile gallery chennai,50,Low,27,10.03,14.71,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
ao smith sgs green,50,High,98,0.49,14.37,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith 15 litre,50,High,100,0.5,14.22,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
franke sink dealers in chennai,50,High,94,2.01,14.16,brands,Sinks (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-4.csv
ao smith water heater 10 litres price,50,High,99,0.42,13.79,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
vitrified tiles price chennai,50,Low,28,3.28,13.77,core,Tiles (L1),Commercial,Medium,2,seo/keyword-research/first-pass-core/set-1.csv | seo/keyword-research/first-pass-core/set-2.csv
vitrified tiles rate in chennai,50,Low,28,3.28,13.77,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-2.csv
orient bell tiles chennai,50,Medium,33,1.96,13.44,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
ao smith hot water tank prices,50,High,100,0.39,13.24,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith instant water heater,50,High,98,0.51,13.24,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith instantaneous water heater,50,High,98,0.51,13.24,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith minibot,50,High,100,0.6,13.24,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith tankless,50,High,98,0.51,13.24,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith tankless heater,50,High,98,0.51,13.24,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith tankless hot water heater,50,High,98,0.51,13.24,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith tankless water heater,50,High,98,0.51,13.24,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith water heater prices,50,High,100,0.39,13.24,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith elegance slim,50,High,99,2.6,13.22,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith water heater instant,50,High,100,0.51,13.22,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 25 ltr price,50,High,100,0.56,13.09,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith water heater 5 litre price,50,High,83,0.42,12.89,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
designer tiles in chennai,50,High,80,6.84,12.86,core,Tiles (L1),Informational,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
ao smith finesse 10 ltr,50,High,99,1.36,12.69,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
tile boutique egmore,50,Low,13,6.56,12.5,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
ao smith xpress 25 litre geyser,50,High,96,1.64,12.43,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
floor tiles price chennai,50,High,74,0.53,12.43,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
flooring tiles price in chennai,50,High,74,0.53,12.43,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
smith geyser,50,High,100,0.75,12.4,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
jacuzzi bath in chennai,50,High,80,4.25,12.36,core,Bath & Wellness (L2),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-9.csv
bathroom tiles design chennai,50,High,90,8.14,12.2,core,Tiles (L1),Informational,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
car parking tiles chennai,50,Medium,40,3.63,12.12,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
car parking tiles in chennai,50,Medium,40,3.63,12.12,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
mosaic tiles chennai,50,High,92,3.74,12.1,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
elevation tiles chennai,50,High,78,7.47,12.08,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
ao smith geyser 15 ltr price,50,High,92,0.52,11.8,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
bathroom tiles chennai,50,High,77,4.79,11.74,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
ao smith instant geyser,50,High,100,0.87,11.72,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith water heater 15 litres price,50,High,100,1.48,11.72,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
terrazzo tiles chennai,50,Medium,48,6.09,11.55,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
imported tiles in chennai,50,Medium,65,6.79,11.43,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
tile boutique chennai,50,Low,21,6.79,11.4,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
